site,start,n_steps,lr,init,langevin_noise,blur_schedule_fwhm_steps,reset_optimizer_at_blur_transition,final_loss,best_loss,final_rmsd_to_A,final_rmsd_to_B,best_rmsd_to_B,first_step_below_0_50,final_chi_radians
B_ARG129,0,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,0.8069915771484375,0.00013218159438110888,2.2416274547576904,0.7701221108436584,0.6788820028305054,,-1.9517307;-2.1667299;-2.6849651;-1.0993882
B_ARG129,1,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,2.0297022729209857e-07,2.6216305570869736e-08,2.0143628120422363,0.00014035915955901146,4.926247856928967e-05,28,-1.9135951;-2.1223793;-1.9266584;1.860039
B_ARG129,2,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.253035068511963,0.0001852103159762919,2.061115264892578,0.4166475534439087,0.41651684045791626,16,-1.2384742;1.1129103;-2.4358654;-1.3112689
B_ARG129,3,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.3421515632217051e-07,7.341356855761205e-09,2.014310121536255,0.0001132310790126212,2.5288431061198935e-05,17,-1.9135313;-2.1223431;-1.9267248;1.8599557
B_ARG129,4,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.2530244588851929,0.00018509244546294212,2.0611116886138916,0.4166525900363922,0.41654902696609497,18,-1.2383915;1.1129404;-2.4358153;-1.3111656
B_ARG129,5,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.487263574517783e-07,5.194492835869369e-09,2.014333724975586,0.00011246851499890909,2.1060157450847328e-05,52,-1.9135945;-2.1223481;-1.9266524;1.8600392
B_ARG129,6,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.2530238628387451,0.00018533694674260914,2.06113862991333,0.4166591167449951,0.416544109582901,30,-1.2383887;1.1129447;-2.4358535;-1.3112171
B_ARG129,7,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.152225053147049e-07,5.1594938099697174e-08,2.0142574310302734,0.00012346571020316333,7.185120193753392e-05,32,-1.9135497;-2.1222761;-1.9267715;1.8599855
B_ARG129,8,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.2530245780944824,0.0001848781539592892,2.0611207485198975,0.41666293144226074,0.4165351390838623,34,-1.2383542;1.1129814;-2.4358287;-1.3111755
B_ARG129,9,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,0.806995153427124,0.00012906691699754447,2.2417149543762207,0.7701626420021057,0.49557986855506897,11,-1.9517733;-2.1667681;-2.684936;-1.0992478
B_ARG129,10,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.2073888910890673e-07,7.488728748228368e-09,2.014251470565796,0.0001233737712027505,3.360232221893966e-05,9,-1.9135921;-2.1222935;-1.9267499;1.8600377
B_ARG129,11,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.7151544094085693,0.0003024362667929381,2.2398462295532227,0.8248550891876221,0.7327326536178589,,-0.98957473;1.3683612;-1.5248841;0.34985349
B_ARG129,12,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,6.1349694213674866e-09,6.1349694213674866e-09,2.014338731765747,2.153800414816942e-05,2.153800414816942e-05,7,-1.9135772;-2.1223466;-1.9266864;1.8600035
B_ARG129,13,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.253028154373169,0.0001860871270764619,2.0611226558685303,0.41665393114089966,0.4165332019329071,17,-1.2384387;1.1129313;-2.435849;-1.3112624
B_ARG129,14,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.7151719331741333,0.0002987980842590332,2.2398271560668945,0.8248522281646729,0.7000030279159546,,-0.98961961;1.3682642;-1.524929;0.35005859
B_ARG129,15,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.7958898013148428e-07,3.850608720767923e-08,2.014317750930786,0.00012588175013661385,6.178693729452789e-05,20,-1.9135923;-2.1222572;-1.9266737;1.8600383
B_ARG129,16,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.7151894569396973,0.00029945949790999293,2.2398383617401123,0.8248419165611267,0.5375085473060608,,-0.98953331;1.3683065;-1.5249361;0.35000664
B_ARG129,17,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.2530348300933838,0.00018614523287396878,2.0611302852630615,0.41665562987327576,0.4165385365486145,19,-1.2384102;1.1129438;-2.4358404;-1.3112001
B_ARG129,18,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,0.8069969415664673,0.00012840115232393146,2.241706132888794,0.7701576352119446,0.5212866067886353,,-1.9517773;-2.1667755;-2.6849604;-1.0991869
B_ARG129,19,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.2530159950256348,0.0001866105740191415,2.0611300468444824,0.4166499972343445,0.4165332019329071,28,-1.2384157;1.1129401;-2.4358552;-1.3112867
B_ARG129,20,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,0.806989312171936,0.00012863028678111732,2.2417263984680176,0.7701693177223206,0.6754998564720154,,-1.9517962;-2.1667655;-2.6849339;-1.0990953
B_ARG129,21,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,0.806978702545166,0.00013011695409659296,2.2416796684265137,0.7701557874679565,0.5621452927589417,,-1.9518112;-2.1667578;-2.6849415;-1.0991026
B_ARG129,22,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.7151668071746826,0.0002993995149154216,2.2398438453674316,0.8248590230941772,0.6116598844528198,,-0.9895792;1.3683381;-1.5248892;0.34994754
B_ARG129,23,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,0.806992769241333,0.000128558196593076,2.241753339767456,0.770184338092804,0.6933474540710449,,-1.9518365;-2.1667609;-2.6849341;-1.0990512
B_ARG129,24,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.7151715755462646,0.00029898923821747303,2.2398297786712646,0.8248501420021057,0.7288575768470764,,-0.98954076;1.3683101;-1.5248661;0.35008353
B_ARG129,25,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.715174913406372,0.000298980507068336,2.2398321628570557,0.8248203992843628,0.7486209273338318,,-0.98956835;1.3682504;-1.5250771;0.34992123
B_ARG129,26,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.2530405521392822,0.00018664296658243984,2.061114549636841,0.4166577458381653,0.41653549671173096,28,-1.2384338;1.1129464;-2.435812;-1.3112159
B_ARG129,27,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.7151710987091064,0.00030844169668853283,2.239820718765259,0.8248892426490784,0.6166763305664062,,-0.98956335;1.3683647;-1.5245436;0.35042748
B_ARG129,28,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,0.8069868087768555,0.00012773924390785396,2.2416272163391113,0.7701261043548584,0.431813508272171,3,-1.9517515;-2.1667218;-2.6849442;-1.0992714
B_ARG129,29,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.715174913406372,0.0003029898798558861,2.2398290634155273,0.8248313665390015,0.6274499297142029,,-0.98959273;1.3682548;-1.5250386;0.34995449
B_ARG129,30,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.2530295848846436,0.00018579536117613316,2.0611250400543213,0.4166566729545593,0.41651538014411926,38,-1.2384367;1.1129068;-2.4358718;-1.3112929
